CREATEDATE,RVR1M,RVR_1A,RVR1X,RVR_10M,RVR_10A,RVR_10X,MOR_1A,MOR_10M,MOR_10A,MOR_10X,VIS1K,VIS1A,VIS10A,BL1A,RVR DATA,MOR_RAW,VIS_RAW,LIGHTS,STATUS,PAINS (HPA),QNH AERODROME (HPA),QFE R06 (HPA),QFE R24 (HPA),QFF AERODROME (HPA),TREND,TENDENCY,TEMP (掳C),RH (%),DEWPOINT (掳C),WSINS (MPS),WS2M (MPS),WS2A (MPS),WS2X (MPS),WS10M (MPS),WS10A (MPS),WS10X (MPS),WDINS,WD2M,WD2A,WD2X,WD10M,WD10A,WD10X,GUST_SPEED (MPS),GUST_DIR,WDVAR,CW2A (MPS),HW2A (MPS),HIGHWIND
2020-3-12 0:00,2800,3000,3000,2800,2900,3000,3025,2800,2900,3050,1208,3025,3000,5471,3100,3100.75,3100.75,100,0,1016.9,1018.44,1016.88,1017.05,1018.47,0.3,3,9.7,85,7.32,1.5999999999999999,1.025,1.5325,2,0.7,1.57,2.5,62.5,43,67.25,81.5,19,58.75,94,2.5,55,0,0.2475,1.5125,0
2020-3-12 0:01,2800,3000,3000,2800,2950,3000,3100,2800,2950,3100,1208,3100,3000,5494.25,3119.5,3120.5,3120.5,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,9.8,85,7.42,1.5,1.1,1.545,2.025,0.7,1.5350000000000001,2.5,64.25,36.25,63.25,88,19,59,94,2.5,55,0,0.14,1.5375,0
2020-3-12 0:02,2800,3000,3000,2800,3000,3000,3100,2800,3000,3100,1215.5,3100,3000,5489.75,3156.75,3157,3157,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,9.8,84,7.24,1.5,1.1,1.55,2.1,0.7,1.4849999999999999,2.1,42,27,54,88,19,58.75,94,2.1,35,0,-0.1075,1.545,0
2020-3-12 0:03,2800,3000,3000,2800,3000,3000,3100,2800,3000,3100,1213,3100,3050,5516.5,3145.5,3146,3146,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,9.9,84,7.34,1.75,0.8,1.51,2.125,0.7,1.4725,2.125,56,28,47.25,73.25,19,57.25,94,2.125,49.75,0,-0.28,1.4849999999999999,0
2020-3-12 0:04,2800,3000,3000,2800,3000,3000,3100,2800,3000,3100,1208.5,3100,3100,5537.5,3126.75,3127,3127,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,9.9,84,7.34,2.025,0.8,1.7325,2.35,0.725,1.5175,2.35,66.25,32.25,56.5,72,21,56.75,88,2.35,69,0,-0.04,1.73,0
2020-3-12 0:05,2875,3000,3000,2900,3000,3000,3050,2900,3000,3100,1202,3050,3100,5552.75,3094.75,3095.25,3095.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.4,3,10,84,7.44,2.575,1.325,2.1100000000000003,2.825,0.8,1.59,2.825,75,50.5,66.75,83,27,59.25,88,2.825,73.5,0,0.3275,2.0825,0
2020-3-12 0:06,3000,3000,3000,2900,3000,3000,3025,2900,3000,3100,1203.75,3025,3100,5563.25,3109.25,3109.5,3109.5,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.4,3,10,83,7.27,2.775,1.4,2.485,3,0.8,1.725,3,81.75,56,74.25,84,27,61.75,88,3,76,0,0.695,2.3825,0
2020-3-12 0:07,3000,3000,3000,2975,3000,3000,3100,2975,3100,3100,1209.25,3100,3100,5583,3151.25,3151.75,3151.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.4,3,10.1,84,7.54,2.475,2.325,2.7175000000000002,3,0.8,1.8575,3,84.75,70.25,79.75,87.75,27,64.5,90,3,82,0,1.0075,2.5225,0
2020-3-12 0:08,3000,3000,3000,3000,3000,3000,3100,3000,3100,3100,1202,3100,3100,5604.25,3108.25,3109,3109,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.4,3,10.2,84,7.64,2.675,1.9,2.5975,3.1500000000000004,0.8,1.98,3.1500000000000004,83.75,75,83.75,96,27,67,96,3.1500000000000004,88.5,0.25,1.1275,2.335,0
2020-3-12 0:09,3000,3000,3000,3000,3000,3000,3100,3000,3100,3100,1204.75,3100,3100,5617.5,3136,3137,3137,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.2,83,7.46,2.35,1.9,2.535,3.2,0.8,2.0825,3.2,79,67,82.5,95,27,68,96,3.2,90,1,1.0525,2.3049999999999997,0
2020-3-12 0:10,3000,3000,3000,3000,3000,3000,3100,3000,3100,3100,1208,3100,3100,5641.75,3163,3163.25,3163.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.3,84,7.73,2.75,2,2.6075,3.125,0.8,2.1950000000000003,3.2,81.25,67,81.25,90.75,27,70,96,3.2,82.5,1,1.0275,2.3975,0
2020-3-12 0:11,3000,3000,3000,3000,3000,3000,3100,3000,3100,3100,1200.5,3100,3100,5657.5,3124,3124.25,3124.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.5,85,8.1,2.425,2.125,2.5975,3.2,0.8,2.295,3.2,79.25,67,81.5,91,28,71.75,96,3.2,75,1,1.0350000000000001,2.3825,0
2020-3-12 0:12,3000,3000,3000,3000,3000,3000,3150,3000,3100,3200,1217.75,3150,3100,5671.75,3251.25,3251.75,3251.75,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.5,83,7.76,2.55,2.1,2.48,3.05,0.8,2.38,3.2,82.5,67,78.75,90.5,32.25,74.75,96,3.2,75,1,0.8775,2.3175,0
2020-3-12 0:13,3000,3000,3000,3000,3000,3000,3200,3000,3100,3200,1213.75,3200,3100,5695.75,3236,3236.25,3236.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.5,83,7.76,2.675,2.125,2.52,2.9,1.325,2.4975,3.2,82,70,81.25,90,50.5,78.25,96,3.2,75,0,0.995,2.3175,0
2020-3-12 0:14,3000,3000,3000,3000,3000,3000,3200,3000,3100,3200,1215.25,3200,3100,5719.5,3259.75,3260.25,3260.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.4,3,10.6,82,7.68,2.475,2.2,2.62,2.9,1.4,2.56,3.2,84,77.5,83.75,90,56,80.5,96,3.2,75,0,1.14,2.36,0
2020-3-12 0:15,3000,3000,3000,3000,3000,3000,3200,3000,3100,3200,1210.5,3200,3100,5758,3231.75,3232.25,3232.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,10.6,82,7.68,2.25,1.875,2.4375,2.8499999999999996,1.75,2.56,3.2,87,73,82.75,95,64.25,81.5,98,3.2,75,0,1.02,2.215,0
